MOU-000001,Mouse,"Ergonomic wireless mouse with precision optical sensor and long battery life",300,25
KEY-000002,Keyboard,"Mechanical gaming keyboard with tactile switches and customizable backlighting",800,15
MON-000003,Monitor,"24-inch Full HD IPS monitor with ultra-thin bezels and adjustable stand",4500,10
LAP-000004,Laptop,"Ultra-portable business laptop with Intel Core i7 processor and 16GB RAM",3500,5
HEA-000005,Headset,"Premium noise-cancelling wireless headset with superior audio quality",1200,20
CAM-000006,Webcam,"1080p HD webcam with auto-focus and built-in noise-cancelling microphone",950,18
SPE-000007,Speakers,"High-fidelity bookshelf speakers with rich bass and clear treble response",1500,12
CHA-000008,Chair,"Ergonomic office chair with lumbar support and adjustable height mechanism",3200,8
TAB-000009,Tablet,"10-inch Android tablet with high-resolution display and expandable storage",2800,6
PRI-000010,Printer,"All-in-one inkjet printer with wireless connectivity and automatic duplex printing",4200,9
MIC-000011,Microphone,"Professional condenser microphone with cardioid pickup pattern and shock mount",1100,14
SSD-000012,Solid State Drive,"High-speed NVMe SSD with 3D NAND technology and exceptional read/write speeds",2500,22
HDD-000013,Hard Disk Drive,"High-capacity desktop HDD with 7200 RPM speed and reliable data storage",1800,16
CPU-000014,Processor,"High-performance multi-core processor with advanced architecture and integrated graphics",5200,7
GPU-000015,Graphics Card,"High-end graphics card with ray tracing support and 4K gaming performance",6800,4
RAM-000016,Memory,"High-speed DDR4 RAM with low latency and excellent overclocking potential",1600,19
CAB-000017,Cable,"Premium USB-C cable with fast charging support and data transfer capability",150,30
BAG-000018,Laptop Bag,"Professional laptop backpack with multiple compartments and water-resistant material",900,13
STY-000019,Stylus,"Precision stylus with pressure sensitivity and palm rejection technology",600,17
DOC-000020,Docking Station,"Universal docking station with multiple ports and dual monitor support",2300,11
MOU-000021,Mouse,"High-performance gaming mouse with customizable RGB lighting and programmable buttons",320,26
KEY-000022,Keyboard,"Wireless ergonomic keyboard with palm rest and quiet keystrokes",850,14
MON-000023,Monitor,"27-inch 4K UHD monitor with HDR support and USB-C connectivity",4600,9
LAP-000024,Laptop,"High-performance gaming laptop with dedicated graphics and RGB keyboard",3700,6
HEA-000025,Headset,"Professional gaming headset with 7.1 surround sound and detachable microphone",1250,21
CAM-000026,Webcam,"4K ultra-wide webcam with privacy shutter and professional lighting correction",980,17
SPE-000027,Speakers,"Wireless Bluetooth speakers with 360-degree sound and waterproof design",1550,13
CHA-000028,Chair,"Premium leather executive chair with memory foam padding and swivel base",3300,7
TAB-000029,Tablet,"Professional tablet with stylus support and productivity-focused features",2900,5
PRI-000030,Printer,"High-speed laser printer ideal for office environments with large print volumes",4300,10
MIC-000031,Microphone,"USB podcasting microphone with built-in headphone monitoring and mute button",1150,15
SSD-000032,Solid State Drive,"Portable external SSD with USB-C connectivity and military-grade durability",2600,20
HDD-000033,Hard Disk Drive,"Portable external hard drive with USB 3.0 connectivity and backup software",1850,18
CPU-000034,Processor,"Flagship CPU with exceptional processing power for gaming and content creation",5300,6
GPU-000035,Graphics Card,"Professional graphics card optimized for content creation and 3D rendering",6900,3
RAM-000036,Memory,"Professional-grade memory modules with error correction and server compatibility",1650,20
CAB-000037,Cable,"High-quality HDMI cable with 4K support and gold-plated connectors",160,28
BAG-000038,Laptop Bag,"Sleek laptop messenger bag with padded compartment and organizational pockets",950,12
STY-000039,Stylus,"Universal stylus compatible with multiple devices and responsive tip technology",620,16
DOC-000040,Docking Station,"USB-C hub with power delivery and comprehensive connectivity options",2400,10
MOU-000041,Mouse,"Compact travel mouse with silent clicks and universal compatibility",310,24
KEY-000042,Keyboard,"Compact 60% mechanical keyboard with hot-swappable switches",820,16
MON-000043,Monitor,"32-inch curved gaming monitor with 144Hz refresh rate and FreeSync technology",4550,11
LAP-000044,Laptop,"Lightweight 2-in-1 convertible laptop with touchscreen and stylus support",3600,4
HEA-000045,Headset,"Comfortable over-ear headset with crystal-clear communication and long battery life",12020,19
CAM-000046,Webcam,"Compact webcam with 60fps streaming capability and plug-and-play setup",960,15
SPE-000047,Speakers,"Studio monitor speakers with accurate sound reproduction for professional use",1520,14
CHA-000048,Chair,"Gaming chair with racing-style design, armrest adjustability, and reclining function",3250,9
TAB-000049,Tablet,"Compact 8-inch tablet perfect for reading, streaming, and light productivity tasks",2850,7
PRI-000050,Printer,"Photo printer with professional-grade color accuracy and borderless printing capability",4250,8